"Time.to.resolution","year","quarter","area"
1,2016,"Q1","W"
2,2016,"Q1","N"
2,2016,"Q1",NA
2,2016,"Q1","N"
2,2016,"Q1","D"
2,2016,"Q1","LSU"
2,2016,"Q1",NA
1,2016,"Q1","LSU"
1,2016,"Q1","D"
5,2016,"Q1",NA
2,2016,"Q1","W"
2,2016,"Q1","W"
5,2016,"Q1","W"
5,2016,"Q1","W"
2,2016,"Q1","W"
5,2016,"Q1","D"
4,2016,"Q1","W"
1,2016,"Q1","N"
2,2016,"Q1",NA
3,2016,"Q1","LSU"
1,2016,"Q1","D"
2,2016,"Q1",NA
2,2016,"Q1",NA
1,2016,"Q1","W"
2,2016,"Q1",NA
1,2016,"Q1","D"
2,2016,"Q1","LSU"
2,2016,"Q1","LSU"
1,2016,"Q1","D"
1,2016,"Q1","W"
2,2016,"Q1","W"
2,2016,"Q1",NA
4,2016,"Q1","LSU"
3,2016,"Q1","N"
3,2016,"Q1","LSU"
3,2016,"Q1",NA
3,2016,"Q1",NA
2,2016,"Q1","LSU"
2,2016,"Q1","D"
2,2016,"Q1","D"
2,2016,"Q1","LSU"
2,2016,"Q1","LSU"
2,2016,"Q1","D"
2,2016,"Q1","W"
3,2016,"Q1","D"
7,2016,"Q1","LSU"
7,2016,"Q1","LSU"
6,2016,"Q1",NA
6,2016,"Q1","LSU"
4,2016,"Q1","D"
4,2016,"Q1","D"
5,2016,"Q1","N"
4,2016,"Q1","W"
5,2016,"Q1",NA
4,2016,"Q1","W"
4,2016,"Q1","N"
7,2016,"Q1","D"
7,2016,"Q1",NA
7,2016,"Q1","W"
5,2016,"Q1","D"
5,2016,"Q1","W"
5,2016,"Q1","N"
6,2016,"Q1",NA
5,2016,"Q1",NA
4,2016,"Q1","D"
4,2016,"Q1","N"
3,2016,"Q1","D"
4,2016,"Q1",NA
4,2016,"Q1",NA
6,2016,"Q1","W"
6,2016,"Q1","W"
6,2016,"Q1",NA
5,2016,"Q1","LSU"
5,2016,"Q1","D"
5,2016,"Q1",NA
5,2016,"Q1",NA
3,2016,"Q1","W"
3,2016,"Q1",NA
3,2016,"Q1","W"
3,2016,"Q1","D"
3,2016,"Q1","D"
4,2016,"Q1",NA
3,2016,"Q1","LSU"
3,2016,"Q1","W"
4,2016,"Q1","W"
3,2016,"Q1","LSU"
6,2016,"Q1","LSU"
4,2016,"Q1",NA
4,2016,"Q1","LSU"
4,2016,"Q1","D"
4,2016,"Q1","N"
5,2016,"Q1","D"
4,2016,"Q1","W"
1,2016,"Q1","D"
3,2016,"Q1","LSU"
6,2016,"Q1","LSU"
1,2016,"Q1","W"
3,2016,"Q1","LSU"
3,2016,"Q1",NA
27,2016,"Q1","W"
2,2016,"Q1","D"
2,2016,"Q1","W"
4,2016,"Q1","W"
3,2016,"Q1","W"
3,2016,"Q1","LSU"
13,2016,"Q1","W"
2,2016,"Q1",NA
2,2016,"Q1",NA
1,2016,"Q1","W"
2,2016,"Q1",NA
2,2016,"Q1",NA
0,2016,"Q1",NA
2,2016,"Q1","W"
2,2016,"Q1","W"
1,2016,"Q1","W"
1,2016,"Q1","W"
1,2016,"Q1","W"
1,2016,"Q1","D"
9,2016,"Q1","LSU"
4,2016,"Q1","N"
4,2016,"Q1","D"
4,2016,"Q1","N"
4,2016,"Q1","D"
2,2016,"Q1",NA
0,2016,"Q1","D"
5,2016,"Q1","LSU"
5,2016,"Q1",NA
5,2016,"Q1","LSU"
5,2016,"Q1","LSU"
3,2016,"Q1","D"
3,2016,"Q1","D"
14,2016,"Q1",NA
6,2016,"Q1",NA
11,2016,"Q1","W"
4,2016,"Q1","W"
451,2016,"Q1","D"
5,2016,"Q1","W"
4,2016,"Q1",NA
4,2016,"Q1","LSU"
4,2016,"Q1",NA
4,2016,"Q1","D"
4,2016,"Q1","W"
6,2016,"Q1","LSU"
3,2016,"Q1","LSU"
3,2016,"Q1","W"
2,2016,"Q1","W"
2,2016,"Q1","N"
2,2016,"Q1","LSU"
2,2016,"Q1","N"
2,2016,"Q1","D"
2,2016,"Q1","N"
3,2016,"Q1",NA
1,2016,"Q1","D"
13,2016,"Q1","D"
22,2016,"Q1","W"
13,2016,"Q1","D"
19,2016,"Q1","D"
1,2016,"Q1","W"
1,2016,"Q1","LSU"
8,2016,"Q1","D"
21,2016,"Q1",NA
20,2016,"Q1","D"
20,2016,"Q1",NA
13,2016,"Q1","W"
20,2016,"Q1","W"
20,2016,"Q1","D"
20,2016,"Q1","W"
13,2016,"Q1","N"
13,2016,"Q1","W"
21,2016,"Q1","D"
21,2016,"Q1",NA
22,2016,"Q1","W"
22,2016,"Q1","LSU"
20,2016,"Q1","D"
19,2016,"Q1","D"
3,2016,"Q1","LSU"
19,2016,"Q1",NA
19,2016,"Q1",NA
18,2016,"Q1",NA
14,2016,"Q1","N"
19,2016,"Q1","D"
12,2016,"Q1","LSU"
13,2016,"Q1","LSU"
20,2016,"Q1",NA
19,2016,"Q1","W"
20,2016,"Q1","W"
11,2016,"Q1","LSU"
11,2016,"Q1","D"
19,2016,"Q1","LSU"
11,2016,"Q1","W"
18,2016,"Q1","W"
19,2016,"Q1","D"
